city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,9
sj,2008,20,12
sj,2008,21,18
sj,2008,22,16
sj,2008,23,15
sj,2008,24,13
sj,2008,25,23
sj,2008,26,19
sj,2008,27,22
sj,2008,28,20
sj,2008,29,20
sj,2008,30,25
sj,2008,31,27
sj,2008,32,40
sj,2008,33,52
sj,2008,34,36
sj,2008,35,49
sj,2008,36,86
sj,2008,37,57
sj,2008,38,50
sj,2008,39,46
sj,2008,40,46
sj,2008,41,41
sj,2008,42,38
sj,2008,43,32
sj,2008,44,46
sj,2008,45,32
sj,2008,46,39
sj,2008,47,31
sj,2008,48,27
sj,2008,49,22
sj,2008,50,19
sj,2008,51,22
sj,2008,52,15
sj,2009,1,17
sj,2009,2,12
sj,2009,3,18
sj,2009,4,14
sj,2009,5,17
sj,2009,6,10
sj,2009,7,14
sj,2009,8,11
sj,2009,9,12
sj,2009,10,9
sj,2009,11,12
sj,2009,12,10
sj,2009,13,8
sj,2009,14,9
sj,2009,15,7
sj,2009,16,7
sj,2009,17,10
sj,2009,18,10
sj,2009,19,10
sj,2009,20,16
sj,2009,21,13
sj,2009,22,19
sj,2009,23,12
sj,2009,24,20
sj,2009,25,16
sj,2009,26,15
sj,2009,27,21
sj,2009,28,30
sj,2009,29,28
sj,2009,30,35
sj,2009,31,39
sj,2009,32,38
sj,2009,33,39
sj,2009,34,44
sj,2009,35,56
sj,2009,36,59
sj,2009,37,38
sj,2009,38,52
sj,2009,39,43
sj,2009,40,66
sj,2009,41,58
sj,2009,42,52
sj,2009,43,43
sj,2009,44,44
sj,2009,45,39
sj,2009,46,28
sj,2009,47,38
sj,2009,48,30
sj,2009,49,29
sj,2009,50,26
sj,2009,51,27
sj,2009,52,22
sj,2010,53,24
sj,2010,1,17
sj,2010,2,14
sj,2010,3,21
sj,2010,4,17
sj,2010,5,14
sj,2010,6,14
sj,2010,7,16
sj,2010,8,10
sj,2010,9,15
sj,2010,10,15
sj,2010,11,10
sj,2010,12,15
sj,2010,13,14
sj,2010,14,10
sj,2010,15,9
sj,2010,16,10
sj,2010,17,18
sj,2010,18,21
sj,2010,19,12
sj,2010,20,19
sj,2010,21,16
sj,2010,22,46
sj,2010,23,48
sj,2010,24,40
sj,2010,25,34
sj,2010,26,38
sj,2010,27,52
sj,2010,28,58
sj,2010,29,39
sj,2010,30,39
sj,2010,31,46
sj,2010,32,78
sj,2010,33,68
sj,2010,34,77
sj,2010,35,84
sj,2010,36,72
sj,2010,37,70
sj,2010,38,52
sj,2010,39,45
sj,2010,40,50
sj,2010,41,65
sj,2010,42,38
sj,2010,43,44
sj,2010,44,34
sj,2010,45,39
sj,2010,46,24
sj,2010,47,21
sj,2010,48,20
sj,2010,49,20
sj,2010,50,21
sj,2010,51,19
sj,2011,52,20
sj,2011,1,17
sj,2011,2,18
sj,2011,3,16
sj,2011,4,13
sj,2011,5,12
sj,2011,6,11
sj,2011,7,10
sj,2011,8,11
sj,2011,9,11
sj,2011,10,9
sj,2011,11,9
sj,2011,12,8
sj,2011,13,9
sj,2011,14,10
sj,2011,15,9
sj,2011,16,10
sj,2011,17,7
sj,2011,18,15
sj,2011,19,9
sj,2011,20,15
sj,2011,21,22
sj,2011,22,22
sj,2011,23,23
sj,2011,24,40
sj,2011,25,44
sj,2011,26,39
sj,2011,27,33
sj,2011,28,39
sj,2011,29,30
sj,2011,30,53
sj,2011,31,36
sj,2011,32,60
sj,2011,33,46
sj,2011,34,66
sj,2011,35,46
sj,2011,36,37
sj,2011,37,47
sj,2011,38,36
sj,2011,39,49
sj,2011,40,46
sj,2011,41,40
sj,2011,42,31
sj,2011,43,25
sj,2011,44,32
sj,2011,45,29
sj,2011,46,27
sj,2011,47,33
sj,2011,48,32
sj,2011,49,23
sj,2011,50,33
sj,2011,51,22
sj,2012,52,22
sj,2012,1,19
sj,2012,2,15
sj,2012,3,12
sj,2012,4,15
sj,2012,5,12
sj,2012,6,13
sj,2012,7,10
sj,2012,8,13
sj,2012,9,8
sj,2012,10,8
sj,2012,11,8
sj,2012,12,9
sj,2012,13,12
sj,2012,14,10
sj,2012,15,8
sj,2012,16,12
sj,2012,17,8
sj,2012,18,21
sj,2012,19,13
sj,2012,20,21
sj,2012,21,15
sj,2012,22,12
sj,2012,23,19
sj,2012,24,21
sj,2012,25,33
sj,2012,26,32
sj,2012,27,26
sj,2012,28,22
sj,2012,29,26
sj,2012,30,36
sj,2012,31,30
sj,2012,32,39
sj,2012,33,45
sj,2012,34,46
sj,2012,35,27
sj,2012,36,40
sj,2012,37,43
sj,2012,38,41
sj,2012,39,54
sj,2012,40,44
sj,2012,41,38
sj,2012,42,48
sj,2012,43,40
sj,2012,44,52
sj,2012,45,36
sj,2012,46,35
sj,2012,47,39
sj,2012,48,27
sj,2012,49,25
sj,2012,50,26
sj,2012,51,22
sj,2013,1,15
sj,2013,2,17
sj,2013,3,13
sj,2013,4,11
sj,2013,5,15
sj,2013,6,12
sj,2013,7,12
sj,2013,8,10
sj,2013,9,8
sj,2013,10,10
sj,2013,11,10
sj,2013,12,8
sj,2013,13,9
sj,2013,14,10
sj,2013,15,11
sj,2013,16,13
sj,2013,17,9
iq,2010,26,7
iq,2010,27,4
iq,2010,28,8
iq,2010,29,5
iq,2010,30,4
iq,2010,31,5
iq,2010,32,5
iq,2010,33,5
iq,2010,34,4
iq,2010,35,6
iq,2010,36,9
iq,2010,37,5
iq,2010,38,8
iq,2010,39,6
iq,2010,40,10
iq,2010,41,6
iq,2010,42,13
iq,2010,43,10
iq,2010,44,10
iq,2010,45,10
iq,2010,46,10
iq,2010,47,11
iq,2010,48,11
iq,2010,49,9
iq,2010,50,12
iq,2010,51,10
iq,2011,52,8
iq,2011,1,10
iq,2011,2,10
iq,2011,3,8
iq,2011,4,8
iq,2011,5,10
iq,2011,6,11
iq,2011,7,14
iq,2011,8,12
iq,2011,9,12
iq,2011,10,11
iq,2011,11,10
iq,2011,12,11
iq,2011,13,8
iq,2011,14,8
iq,2011,15,9
iq,2011,16,8
iq,2011,17,8
iq,2011,18,9
iq,2011,19,5
iq,2011,20,6
iq,2011,21,5
iq,2011,22,6
iq,2011,23,5
iq,2011,24,5
iq,2011,25,4
iq,2011,26,5
iq,2011,27,5
iq,2011,28,3
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,5
iq,2011,33,4
iq,2011,34,5
iq,2011,35,4
iq,2011,36,4
iq,2011,37,9
iq,2011,38,7
iq,2011,39,10
iq,2011,40,6
iq,2011,41,8
iq,2011,42,11
iq,2011,43,10
iq,2011,44,8
iq,2011,45,13
iq,2011,46,11
iq,2011,47,9
iq,2011,48,10
iq,2011,49,12
iq,2011,50,17
iq,2011,51,13
iq,2012,52,9
iq,2012,1,12
iq,2012,2,12
iq,2012,3,11
iq,2012,4,7
iq,2012,5,12
iq,2012,6,13
iq,2012,7,10
iq,2012,8,10
iq,2012,9,7
iq,2012,10,9
iq,2012,11,4
iq,2012,12,4
iq,2012,13,9
iq,2012,14,5
iq,2012,15,9
iq,2012,16,11
iq,2012,17,10
iq,2012,18,7
iq,2012,19,4
iq,2012,20,9
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,4
iq,2012,26,5
iq,2012,27,5
iq,2012,28,4
iq,2012,29,6
iq,2012,30,6
iq,2012,31,3
iq,2012,32,4
iq,2012,33,5
iq,2012,34,7
iq,2012,35,8
iq,2012,36,4
iq,2012,37,5
iq,2012,38,5
iq,2012,39,8
iq,2012,40,6
iq,2012,41,10
iq,2012,42,8
iq,2012,43,10
iq,2012,44,10
iq,2012,45,11
iq,2012,46,13
iq,2012,47,17
iq,2012,48,11
iq,2012,49,11
iq,2012,50,11
iq,2012,51,11
iq,2013,1,14
iq,2013,2,10
iq,2013,3,10
iq,2013,4,14
iq,2013,5,14
iq,2013,6,13
iq,2013,7,14
iq,2013,8,12
iq,2013,9,13
iq,2013,10,12
iq,2013,11,11
iq,2013,12,12
iq,2013,13,11
iq,2013,14,11
iq,2013,15,9
iq,2013,16,11
iq,2013,17,10
iq,2013,18,6
iq,2013,19,11
iq,2013,20,11
iq,2013,21,5
iq,2013,22,8
iq,2013,23,5
iq,2013,24,3
iq,2013,25,5
iq,2013,26,5
