id,Listening_Time_minutes
750000,53.769966
750001,17.230984
750002,47.923714
750003,79.78611
750004,47.934402
750005,23.24934
750006,90.723015
750007,39.947067
750008,67.39752
750009,75.356064
750010,15.3088045
750011,22.467806
750012,32.18672
750013,103.11446
750014,46.52943
750015,60.698914
750016,92.16306
750017,33.1873
750018,60.531704
750019,43.00215
750020,36.556953
750021,58.113544
750022,78.05412
750023,30.319944
750024,55.63895
750025,99.00525
750026,11.37636
750027,25.824282
750028,88.82044
750029,98.33023
750030,34.78846
750031,35.305492
750032,11.594778
750033,59.283627
750034,21.239166
750035,20.561481
750036,14.078875
750037,35.74044
750038,23.592594
750039,24.026388
750040,15.002061
750041,82.28763
750042,69.54637
750043,69.64886
750044,52.53845
750045,20.181334
750046,14.706725
750047,51.30785
750048,14.85722
750049,5.8340073
750050,84.42128
750051,23.853622
750052,44.15296
750053,79.75549
750054,16.105623
750055,15.96512
750056,72.47144
750057,55.98697
750058,19.712627
750059,94.41584
750060,47.56553
750061,33.649815
750062,70.21602
750063,73.24468
750064,48.14549
750065,15.846472
750066,65.3736
750067,42.9434
750068,56.721443
750069,43.54272
750070,34.838375
750071,96.250496
750072,90.313614
750073,27.76378
750074,40.38355
750075,90.0726
750076,15.122791
750077,10.113725
750078,77.48312
750079,81.79158
750080,87.51302
750081,89.65628
750082,15.534516
750083,75.12583
750084,75.375755
750085,64.34755
750086,54.347256
750087,93.90395
750088,12.010625
750089,45.75505
750090,62.59368
750091,78.871086
750092,35.10423
750093,32.24549
750094,52.01054
750095,31.35757
750096,3.6168072
750097,28.538849
750098,34.21151
750099,14.626813
750100,96.90441
750101,47.5978
750102,47.568382
750103,87.11114
750104,33.158348
750105,31.519085
750106,30.63988
750107,83.38646
750108,60.392643
750109,36.965263
750110,50.584957
750111,21.17637
750112,5.098579
750113,74.20539
750114,55.40881
750115,80.13775
750116,86.59603
750117,68.01035
750118,47.046967
750119,22.946344
750120,2.5121098
750121,54.564342
750122,79.99905
750123,61.16376
750124,35.279636
750125,20.282728
750126,62.06956
750127,3.1469502
750128,5.5394354
750129,16.763216
750130,42.46119
